,ranking,variable
0,1,U*_merch#
1,1,card-merchant_#d_since
2,1,card-merchant_ps_14d_ActualTotal
3,1,card-merchant_ps_14d_total
4,1,card-merchant_ps_3d_total
5,1,card-zip_ps_14d_ActualTotal
6,1,card-zip_ps_14d_total
7,1,card-zip_ps_30d_ActualTotal
8,1,card_ps_0d_ps14d_number
9,1,card_ps_0d_ps30d_number
10,1,card_ps_14d_ActualTotal
11,1,card_ps_14d_total
12,1,card_ps_1d_count
13,1,card_ps_1d_ps14d_number
14,1,card_ps_1d_ps7d_number
15,1,card_ps_30d_ActualTotal
16,1,card_ps_30d_total
17,1,card_ps_7d_ActualTotal
18,1,card_ps_7d_count
19,1,merch#_ps_0d_ps30d_amount
20,1,merch#_ps_14d_count
21,1,merch#_ps_14d_total
22,1,merch#_ps_1d_ps30d_amount
23,1,merch#_ps_3d_ActualTotal
24,1,merch#_ps_3d_count
25,1,merch#_ps_7d_total
26,2,merch#_ps_14d_ActualTotal
27,3,merch#_ps_1d_ps30d_number
28,4,card-state_ps_3d_total
29,5,card-state_ps_14d_total
30,6,card-merchant_ps_7d_ActualTotal
31,7,card-zip_#d_since
32,8,merch#_ps_1d_ps14d_number
33,9,merch#_ps_1d_ps7d_number
34,10,card_ps_1d_ps30d_number
35,11,card_#d_since
36,12,merch#_ps_0d_ps30d_number
37,13,merch#_ps_30d_ActualTotal
38,14,merch#_ps_30d_count
39,15,card-state_ps_30d_ActualTotal
40,16,card-state_ps_30d_count
41,17,card-merchant_ps_30d_ActualTotal
42,18,card_ps_1d_ActualAverage
43,19,card_ps_0d_ActualAverage
44,20,card_ps_3d_count
45,21,card-state_ps_7d_ActualTotal
46,22,card-state_ps_14d_ActualTotal
47,23,merch#_ps_7d_count
48,24,card-state_ps_7d_count
49,25,card_ps_1d_ActualTotal
50,26,card-state_#d_since
51,27,card-state_ps_0d_median
52,28,card_ps_14d_count
53,29,merch#_ps_0d_ActualAverage
54,30,merch#_ps_30d_total
55,31,card-state_ps_7d_total
56,32,card_ps_30d_count
57,33,merch#_ps_7d_ActualTotal
58,34,merch#_#d_since
59,35,card-zip_ps_30d_maximum
60,36,card-zip_ps_7d_total
61,37,card-state_ps_14d_ActualAverage
62,38,merch#_ps_0d_ps7d_number
63,39,card_ps_0d_median
64,40,card-merchant_ps_7d_maximum
65,41,card-zip_ps_30d_median
66,42,card-merchant_ps_1d_median
67,43,merch#_ps_30d_median
68,44,card-merchant_ps_1d_maximum
69,45,card_ps_3d_ActualAverage
70,46,card-merchant_ps_0d_median
71,47,card-state_ps_0d_average
72,48,merch#_ps_30d_maximum
73,49,card-merchant_ps_1d_average
74,50,card-merchant_ps_0d_maximum
75,51,card-merchant_ps_0d_average
76,52,card-zip_ps_30d_average
77,53,card-state_ps_0d_maximum
78,54,merch#_ps_30d_average
79,55,card_ps_0d_ps7d_number
